No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,dd_lt_kikan,LT集計期間日,DATE,無,なし,なし,なし,パラメータ,#{ddLtKikan},実行時パラメータ #{ddLtKikan} をそのまま設定,LT集計対象期間を表す日付
2,mj_lt_kikan,LT集計期間文字列,STRING,無,なし,なし,なし,パラメータ,#{mjLtKikan},実行時パラメータ #{mjLtKikan} をそのまま設定,文字列形式のLT集計期間。SQL内では yyyyMMdd 形式の日付文字列比較にも使用
3,cd_hanbaitn,販売店コード,STRING,無,なし,なし,なし,${uslimDb}.HANSYAINFO,CD_HANBAITN,T_HSIF.CD_HANBAITN を設定,販売店を識別するコード
4,kj_kaisyatn,販売店名,STRING,有,なし,なし,なし,${uslimDb}.HANSYAINFO,KJ_HANBAITN,T_HSIF.KJ_HANBAITN を KJ_KAISYATN として設定,DDL上は会社店名項目。SQLでは販売店名を設定
5,cd_chiiki,地域コード,STRING,有,なし,なし,なし,${uslimDb}.AREAMASTER,CD_CHIIKI,HANSYAINFO.CD_CHIIKI = AREAMASTER.CD_CHIIKI で結合し、T_AREA.CD_CHIIKI を設定,販売店が属する地域コード
6,mj_chiiki,地域名,STRING,有,なし,なし,なし,${uslimDb}.AREAMASTER,MJ_CHIIKI,HANSYAINFO.CD_CHIIKI = AREAMASTER.CD_CHIIKI で結合し、T_AREA.MJ_CHIIKI を設定,販売店が属する地域名
7,nu_sita_cnt,下取→仕入LT件数,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC001G,"DD_TORIKESI, DD_SIIRE",DD_TORIKESI IS NULL かつ DD_SIIRE >= #{ddLtKikan} を条件に、COUNT(CASE WHEN 条件 THEN 1 ELSE NULL END) で集計,条件に一致した対象件数。T_LT1でCD_HANSYA・CD_KAISYA単位に集計
8,nu_sita_minlt,下取→仕入LT最小LT,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC001G,"DD_SIIRE, DD_SITASYUK","DD_TORIKESI IS NULL かつ DD_SIIRE >= #{ddLtKikan} を条件に、DATEDIFF(DD_SIIRE, DD_SITASYUK) を用いて MIN(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最小リードタイム日数。T_LT1でCD_HANSYA・CD_KAISYA単位に集計
9,nu_sita_maxlt,下取→仕入LT最大LT,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC001G,"DD_SIIRE, DD_SITASYUK","DD_TORIKESI IS NULL かつ DD_SIIRE >= #{ddLtKikan} を条件に、DATEDIFF(DD_SIIRE, DD_SITASYUK) を用いて MAX(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最大リードタイム日数。T_LT1でCD_HANSYA・CD_KAISYA単位に集計
10,nu_sita_sumlt,下取→仕入LT合計LT,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC001G,"DD_SIIRE, DD_SITASYUK","DD_TORIKESI IS NULL かつ DD_SIIRE >= #{ddLtKikan} を条件に、DATEDIFF(DD_SIIRE, DD_SITASYUK) を用いて SUM(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データのリードタイム合計日数。T_LT1でCD_HANSYA・CD_KAISYA単位に集計
11,nu_sita_cntlt,下取→仕入LTLT算出件数,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC001G,"DD_SIIRE, DD_SITASYUK","DD_TORIKESI IS NULL かつ DD_SIIRE >= #{ddLtKikan} を条件に、DATEDIFF(DD_SIIRE, DD_SITASYUK) を用いて COUNT(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",LTがNULLではなく算出できた件数。T_LT1でCD_HANSYA・CD_KAISYA単位に集計
12,nu_siire_cnt,仕入LT件数,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC001G, ${ai21Db}.TBNH001G, ${ai21Db}.TBNH002G",TBNH002G.DD_STISGJS,TBNH002G.DD_STISGJS >= #{mjLtKikan} を条件に、COUNT(CASE WHEN 条件 THEN 1 ELSE NULL END) で集計,条件に一致した対象件数。T_LT2でCD_HANSYA・CD_KAISYA単位に集計
13,nu_siire_minlt,仕入LT最小LT,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC001G, ${ai21Db}.TBNH001G, ${ai21Db}.TBNH002G","TBNH002G.DD_STISGJS, TBBC001G.DD_SIIRE","TBNH002G.DD_STISGJS >= #{mjLtKikan} を条件に、DATEDIFF(TO_TIMESTAMP(TBNH002G.DD_STISGJS,'yyyyMMdd'), TBBC001G.DD_SIIRE) を用いて MIN(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最小リードタイム日数。T_LT2でCD_HANSYA・CD_KAISYA単位に集計
14,nu_siire_maxlt,仕入LT最大LT,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC001G, ${ai21Db}.TBNH001G, ${ai21Db}.TBNH002G","TBNH002G.DD_STISGJS, TBBC001G.DD_SIIRE","TBNH002G.DD_STISGJS >= #{mjLtKikan} を条件に、DATEDIFF(TO_TIMESTAMP(TBNH002G.DD_STISGJS,'yyyyMMdd'), TBBC001G.DD_SIIRE) を用いて MAX(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最大リードタイム日数。T_LT2でCD_HANSYA・CD_KAISYA単位に集計
15,nu_siire_sumlt,仕入LT合計LT,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC001G, ${ai21Db}.TBNH001G, ${ai21Db}.TBNH002G","TBNH002G.DD_STISGJS, TBBC001G.DD_SIIRE","TBNH002G.DD_STISGJS >= #{mjLtKikan} を条件に、DATEDIFF(TO_TIMESTAMP(TBNH002G.DD_STISGJS,'yyyyMMdd'), TBBC001G.DD_SIIRE) を用いて SUM(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データのリードタイム合計日数。T_LT2でCD_HANSYA・CD_KAISYA単位に集計
16,nu_siire_cntlt,仕入LTLT算出件数,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC001G, ${ai21Db}.TBNH001G, ${ai21Db}.TBNH002G","TBNH002G.DD_STISGJS, TBBC001G.DD_SIIRE","TBNH002G.DD_STISGJS >= #{mjLtKikan} を条件に、DATEDIFF(TO_TIMESTAMP(TBNH002G.DD_STISGJS,'yyyyMMdd'), TBBC001G.DD_SIIRE) を用いて COUNT(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",LTがNULLではなく算出できた件数。T_LT2でCD_HANSYA・CD_KAISYA単位に集計
17,nu_hinsi_cnt,品証・掲載開始LT件数,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC001G, ${ai21Db}.TBNH001G, ${ai21Db}.TBNH002G, ${uslimDb}.GAZOOALLINFO",GAZOOALLINFO.CD_TMCHANCD,GAZOOALLINFO.CD_TMCHANCD IS NOT NULL を条件に、COUNT(CASE WHEN 条件 THEN 1 ELSE NULL END) で集計,条件に一致した対象件数。hinsiの正式業務名称はSQL/DDLのみでは断定不可。計算式上は仕入実績日からGAZOO掲載開始日までのLT
18,nu_hinsi_minlt,品証・掲載開始LT最小LT,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC001G, ${ai21Db}.TBNH001G, ${ai21Db}.TBNH002G, ${uslimDb}.GAZOOALLINFO","GAZOOALLINFO.DD_KESAIKS, TBNH002G.DD_STISGJS","GAZOOALLINFO.CD_TMCHANCD IS NOT NULL を条件に、DATEDIFF(TO_TIMESTAMP(GAZOOALLINFO.DD_KESAIKS,'yyyyMMdd'), TO_TIMESTAMP(TBNH002G.DD_STISGJS,'yyyyMMdd')) を用いて MIN(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最小リードタイム日数。hinsiの正式業務名称はSQL/DDLのみでは断定不可。計算式上は仕入実績日からGAZOO掲載開始日までのLT
19,nu_hinsi_maxlt,品証・掲載開始LT最大LT,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC001G, ${ai21Db}.TBNH001G, ${ai21Db}.TBNH002G, ${uslimDb}.GAZOOALLINFO","GAZOOALLINFO.DD_KESAIKS, TBNH002G.DD_STISGJS","GAZOOALLINFO.CD_TMCHANCD IS NOT NULL を条件に、DATEDIFF(TO_TIMESTAMP(GAZOOALLINFO.DD_KESAIKS,'yyyyMMdd'), TO_TIMESTAMP(TBNH002G.DD_STISGJS,'yyyyMMdd')) を用いて MAX(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最大リードタイム日数。hinsiの正式業務名称はSQL/DDLのみでは断定不可。計算式上は仕入実績日からGAZOO掲載開始日までのLT
20,nu_hinsi_sumlt,品証・掲載開始LT合計LT,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC001G, ${ai21Db}.TBNH001G, ${ai21Db}.TBNH002G, ${uslimDb}.GAZOOALLINFO","GAZOOALLINFO.DD_KESAIKS, TBNH002G.DD_STISGJS","GAZOOALLINFO.CD_TMCHANCD IS NOT NULL を条件に、DATEDIFF(TO_TIMESTAMP(GAZOOALLINFO.DD_KESAIKS,'yyyyMMdd'), TO_TIMESTAMP(TBNH002G.DD_STISGJS,'yyyyMMdd')) を用いて SUM(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データのリードタイム合計日数。hinsiの正式業務名称はSQL/DDLのみでは断定不可。計算式上は仕入実績日からGAZOO掲載開始日までのLT
21,nu_hinsi_cntlt,品証・掲載開始LTLT算出件数,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC001G, ${ai21Db}.TBNH001G, ${ai21Db}.TBNH002G, ${uslimDb}.GAZOOALLINFO","GAZOOALLINFO.DD_KESAIKS, TBNH002G.DD_STISGJS","GAZOOALLINFO.CD_TMCHANCD IS NOT NULL を条件に、DATEDIFF(TO_TIMESTAMP(GAZOOALLINFO.DD_KESAIKS,'yyyyMMdd'), TO_TIMESTAMP(TBNH002G.DD_STISGJS,'yyyyMMdd')) を用いて COUNT(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",LTがNULLではなく算出できた件数。hinsiの正式業務名称はSQL/DDLのみでは断定不可。計算式上は仕入実績日からGAZOO掲載開始日までのLT
22,nu_tenji_cnt,展示→受注LT件数,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC017G, ${ai21Db}.TBBC001G, ${uslimDb}.GAZOOALLINFO",TBBC017G.DD_JUCYU,TBBC017G.DD_JUCYU >= #{ddLtKikan} を条件に、COUNT(CASE WHEN 条件 THEN 1 ELSE NULL END) で集計,条件に一致した対象件数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
23,nu_tenji_minlt,展示→受注LT最小LT,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC017G, ${ai21Db}.TBBC001G, ${uslimDb}.GAZOOALLINFO","TBBC017G.DD_JUCYU, GAZOOALLINFO.DD_KESAIKS","TBBC017G.DD_JUCYU >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_JUCYU, TO_TIMESTAMP(GAZOOALLINFO.DD_KESAIKS,'yyyyMMdd')) を用いて MIN(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最小リードタイム日数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
24,nu_tenji_maxlt,展示→受注LT最大LT,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC017G, ${ai21Db}.TBBC001G, ${uslimDb}.GAZOOALLINFO","TBBC017G.DD_JUCYU, GAZOOALLINFO.DD_KESAIKS","TBBC017G.DD_JUCYU >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_JUCYU, TO_TIMESTAMP(GAZOOALLINFO.DD_KESAIKS,'yyyyMMdd')) を用いて MAX(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最大リードタイム日数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
25,nu_tenji_sumlt,展示→受注LT合計LT,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC017G, ${ai21Db}.TBBC001G, ${uslimDb}.GAZOOALLINFO","TBBC017G.DD_JUCYU, GAZOOALLINFO.DD_KESAIKS","TBBC017G.DD_JUCYU >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_JUCYU, TO_TIMESTAMP(GAZOOALLINFO.DD_KESAIKS,'yyyyMMdd')) を用いて SUM(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データのリードタイム合計日数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
26,nu_tenji_cntlt,展示→受注LTLT算出件数,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC017G, ${ai21Db}.TBBC001G, ${uslimDb}.GAZOOALLINFO","TBBC017G.DD_JUCYU, GAZOOALLINFO.DD_KESAIKS","TBBC017G.DD_JUCYU >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_JUCYU, TO_TIMESTAMP(GAZOOALLINFO.DD_KESAIKS,'yyyyMMdd')) を用いて COUNT(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",LTがNULLではなく算出できた件数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
27,nu_jucyu_cnt,受注→登録LT件数,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC017G,TBBC017G.DD_TOUROKU,TBBC017G.DD_TOUROKU >= #{ddLtKikan} を条件に、COUNT(CASE WHEN 条件 THEN 1 ELSE NULL END) で集計,条件に一致した対象件数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
28,nu_jucyu_minlt,受注→登録LT最小LT,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC017G,"TBBC017G.DD_TOUROKU, TBBC017G.DD_JUCYU","TBBC017G.DD_TOUROKU >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_TOUROKU, TBBC017G.DD_JUCYU) を用いて MIN(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最小リードタイム日数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
29,nu_jucyu_maxlt,受注→登録LT最大LT,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC017G,"TBBC017G.DD_TOUROKU, TBBC017G.DD_JUCYU","TBBC017G.DD_TOUROKU >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_TOUROKU, TBBC017G.DD_JUCYU) を用いて MAX(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最大リードタイム日数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
30,nu_jucyu_sumlt,受注→登録LT合計LT,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC017G,"TBBC017G.DD_TOUROKU, TBBC017G.DD_JUCYU","TBBC017G.DD_TOUROKU >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_TOUROKU, TBBC017G.DD_JUCYU) を用いて SUM(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データのリードタイム合計日数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
31,nu_jucyu_cntlt,受注→登録LTLT算出件数,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC017G,"TBBC017G.DD_TOUROKU, TBBC017G.DD_JUCYU","TBBC017G.DD_TOUROKU >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_TOUROKU, TBBC017G.DD_JUCYU) を用いて COUNT(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",LTがNULLではなく算出できた件数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
32,nu_touroku_cnt,登録→納車LT件数,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC017G,TBBC017G.DD_NOSYA,TBBC017G.DD_NOSYA >= #{ddLtKikan} を条件に、COUNT(CASE WHEN 条件 THEN 1 ELSE NULL END) で集計,条件に一致した対象件数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
33,nu_touroku_minlt,登録→納車LT最小LT,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC017G,"TBBC017G.DD_NOSYA, TBBC017G.DD_TOUROKU","TBBC017G.DD_NOSYA >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_NOSYA, TBBC017G.DD_TOUROKU) を用いて MIN(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最小リードタイム日数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
34,nu_touroku_maxlt,登録→納車LT最大LT,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC017G,"TBBC017G.DD_NOSYA, TBBC017G.DD_TOUROKU","TBBC017G.DD_NOSYA >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_NOSYA, TBBC017G.DD_TOUROKU) を用いて MAX(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最大リードタイム日数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
35,nu_touroku_sumlt,登録→納車LT合計LT,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC017G,"TBBC017G.DD_NOSYA, TBBC017G.DD_TOUROKU","TBBC017G.DD_NOSYA >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_NOSYA, TBBC017G.DD_TOUROKU) を用いて SUM(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データのリードタイム合計日数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
36,nu_touroku_cntlt,登録→納車LTLT算出件数,BIGINT,有,なし,なし,なし,${ai21Db}.TBBC017G,"TBBC017G.DD_NOSYA, TBBC017G.DD_TOUROKU","TBBC017G.DD_NOSYA >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_NOSYA, TBBC017G.DD_TOUROKU) を用いて COUNT(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",LTがNULLではなく算出できた件数。T_LT3でCD_HANSYA・CD_KAISYA単位に集計
37,nu_sirtor_cnt,仕入→登録LT件数,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC017G, ${ai21Db}.TBBC001G",TBBC017G.DD_TOUROKU,TBBC017G.DD_TOUROKU >= #{ddLtKikan} を条件に、COUNT(CASE WHEN 条件 THEN 1 ELSE NULL END) で集計,条件に一致した対象件数。sirtorの正式名称はSQL/DDLのみでは断定不可。計算式上は仕入日から登録日までのLT
38,nu_sirtor_minlt,仕入→登録LT最小LT,BIGINT,有,なし,なし,なし,"${ai21Db}.TBBC017G, ${ai21Db}.TBBC001G","TBBC017G.DD_TOUROKU, TBBC001G.DD_SIIRE","TBBC017G.DD_TOUROKU >= #{ddLtKikan} を条件に、DATEDIFF(TBBC017G.DD_TOUROKU, TBBC001G.DD_SIIRE) を用いて MIN(CASE WHEN 条件 THEN LT ELSE NULL END) で集計",対象データの最小リードタイム日数。sirtorの正式名称はSQL/DDLのみでは断定不可。計算式上は仕入日から登録日までのLT
