No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,cd_hansya,販社コード,STRING,無,なし,なし,なし,${uslimDb}.RESERVEINFO,CD_HANSYA,T_RI.CD_HANSYA をそのまま取得,販社を識別するコード。DDL上 NOT NULL。
2,cd_kaisya,会社コード,STRING,無,なし,なし,なし,${uslimDb}.RESERVEINFO,CD_KAISYA,T_RI.CD_KAISYA をそのまま取得,会社を識別するコード。DDL上 NOT NULL。
3,no_siretyum,仕入注文番号,STRING,無,なし,なし,なし,${uslimDb}.RESERVEINFO,NO_SIRETYUM,T_RI.NO_SIRETYUM をそのまま取得,仕入注文を識別する番号。DDL上 NOT NULL。
4,no_syadaiba,車台番号,STRING,無,なし,なし,なし,${uslimDb}.RESERVEINFO,NO_SYADAIBA,T_RI.NO_SYADAIBA をそのまま取得,車両を識別する車台番号。TBBC001G との結合キーにも使用。DDL上 NOT NULL。
5,dt_sakusei_key,作成日時キー,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,DT_SAKUSEI,"FROM_TIMESTAMP(T_RI.DT_SAKUSEI, 'yyyy/MM/dd HH:mm:ss.SSSSSS')",作成日時を指定フォーマットで文字列化したキー項目。
6,mj_stetas,ステータス,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,MJ_STETAS,T_RI.MJ_STETAS をそのまま取得,提案予定または予約情報側のステータス。
7,cd_tenpo,店舗コード,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,CD_TENPO,T_RI.CD_TENPO をそのまま取得,店舗を識別するコード。
8,kj_tenpomei,店舗名,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,KJ_TENPOMEI,"REGEXP_REPLACE(T_RI.KJ_TENPOMEI, '[　 ]+$', '')",店舗名の末尾にある全角・半角スペースを削除して格納。
9,kj_tanstaff,担当スタッフ名,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,KJ_TANSTAFF,"REGEXP_REPLACE(T_RI.KJ_TANSTAFF, '[　 ]+$', '')",担当スタッフ名の末尾にある全角・半角スペースを削除して格納。
10,kj_rentanto,連絡担当者名,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,KJ_RENTANTO,TRIM(T_RI.KJ_RENTANTO),前後の空白を削除して格納。論理名はカラム名からの推定を含む。
11,mj_bikou,備考,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,MJ_BIKOU,"REGEXP_REPLACE(T_RI.MJ_BIKOU, '[　 ]+$', '')",備考の末尾にある全角・半角スペースを削除して格納。
12,dt_sakusei,作成日時,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,DT_SAKUSEI,"FROM_TIMESTAMP(T_RI.DT_SAKUSEI, 'yyyy/MM/dd HH:mm:ss.SSSSSS')",作成日時を指定フォーマットで文字列化して格納。
13,dt_saisinup,最終更新日時,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,DT_SAISINUP,"FROM_TIMESTAMP(T_RI.DT_SAISINUP, 'yyyy/MM/dd HH:mm:ss.SSSSSS')",最終更新日時を指定フォーマットで文字列化して格納。
14,dt_renzumi,連携済日時,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,DT_RENZUMI,"FROM_TIMESTAMP(T_RI.DT_RENZUMI, 'yyyy/MM/dd HH:mm:ss.SSSSSS')",連携済日時を指定フォーマットで文字列化して格納。論理名はカラム名からの推定を含む。
15,mj_sakuseimail,作成者メールアドレス,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,MJ_SAKUSEIMAIL,T_RI.MJ_SAKUSEIMAIL をそのまま取得,作成者のメールアドレス。
16,mj_kousinmail,更新者メールアドレス,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,MJ_KOUSINMAIL,T_RI.MJ_KOUSINMAIL をそのまま取得,更新者のメールアドレス。
17,mj_sakujo,削除区分,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,MJ_SAKUJO,T_RI.MJ_SAKUJO をそのまま取得,削除状態を表す区分値。
18,kj_okyakume,お客様名,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,KJ_OKYAKUME,"REGEXP_REPLACE(T_RI.KJ_OKYAKUME, '[　 ]+$', '')",お客様名の末尾にある全角・半角スペースを削除して格納。
19,dd_sydan,商談日,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,DD_SYDAN,"FROM_TIMESTAMP(T_RI.DD_SYDAN, 'yyyy/MM/dd')",商談日を yyyy/MM/dd 形式として文字列化して格納。
20,mj_zaikost,在庫ステータス,STRING,有,なし,なし,なし,${ai21Db}.TBBC001G,MJ_ZAIKOST,RESERVEINFO と TBBC001G を LEFT JOIN し、TBBC001G.MJ_ZAIKOST を取得。結合条件は CD_HANSYA・CD_KAISYA・車台番号一致、DT_SAKUSEI <= DD_SIIRE、DD_TORIKESI IS NULL。,車両の在庫状態を表す項目。結合できない場合はNULLになり得る。
21,no_cyumon,注文番号,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,NO_CYUMON,T_RI.NO_CYUMON をそのまま取得。ただし WHERE T_RI.NO_CYUMON IS NULL で抽出。,抽出条件により、このテーブルに入る行ではNULLになる想定。
22,dd_sitatori,下取日,STRING,有,なし,なし,なし,${uslimDb}.RESERVEINFO,DD_SITATORI,"FROM_TIMESTAMP(T_RI.DD_SITATORI, 'yyyy/MM/dd')",下取日を yyyy/MM/dd 形式として文字列化して格納。
23,mart_created_at,データマート作成日時,STRING,無,なし,なし,CURRENT_TIMESTAMP,システム生成,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP を設定,データマートへの登録・作成時刻。DDL上 NOT NULL かつ DEFAULT CURRENT_TIMESTAMP。
