No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,更新方法,説明/備考
1,cd_hansya,販社コード,STRING,無,なし,なし,なし,パラメータ,#{cdHansya},パラメータ値をそのまま設定,TRUNCATE後、INSERT INTO ... SELECTで再作成,DDL上はNOT NULL。DM_SATEI_HEADERと明細系テーブルを紐づける論理キー候補だが、PRIMARY KEY制約は未定義。
2,cd_kaisya,会社コード,STRING,無,なし,なし,なし,パラメータ,#{cdKaisya},パラメータ値をそのまま設定,TRUNCATE後、INSERT INTO ... SELECTで再作成,DDL上はNOT NULL。DM_SATEI_HEADERと明細系テーブルを紐づける論理キー候補だが、PRIMARY KEY制約は未定義。
3,no_sti,査定番号,STRING,無,なし,なし,なし,パラメータ,#{noSti},パラメータ値をそのまま設定,TRUNCATE後、INSERT INTO ... SELECTで再作成,DDL上はNOT NULL。指定査定を識別するための主要項目。ただしPRIMARY KEY制約は未定義。
4,no_syadai,車台番号,STRING,有,なし,なし,なし,${ai21Db}.TBNH001G,NO_SYADAI,RTRIM(T1.NO_SYADAI) により右側空白を削除,TRUNCATE後、INSERT INTO ... SELECTで再作成,TBNH001Gを主テーブルとして、指定された会社・販社・査定番号・MJ_STIHZSM='1'で抽出。
5,mj_carsbt,車種名・車種別名（推定）,STRING,有,なし,なし,なし,${ai21Db}.TBNH003G,MJ_CARSBT,対象査定のうち KB_STIKT の最大値に一致するレコードから取得,TRUNCATE後、INSERT INTO ... SELECTで再作成,正式な論理名はDDL/SQLのみでは断定不可。TBNH003Gは車両情報系として使用されている。
6,no_trknosri,登録番号,STRING,有,なし,なし,なし,${ai21Db}.TBNH003G,"CD_TRKNORKS, KB_TRKNOSY, CD_TRKNOGTI, NO_TRKNOSRI","TRIM(REPLACE(CD_TRKNORKS,'　',' ')) || ' ' || KB_TRKNOSY || CD_TRKNOGTI || IF(LENGTH(NO_TRKNOSRI) BETWEEN 1 AND 3, LPAD(NO_TRKNOSRI,4,'0'), NO_TRKNOSRI) で登録番号を整形・連結",TRUNCATE後、INSERT INTO ... SELECTで再作成,全角スペースを半角スペースへ変換し、車両番号部分が1～3桁の場合は左0埋めで4桁化。
7,mj_katasiki,型式,STRING,有,なし,なし,なし,${ai21Db}.TBNH003G,MJ_KATASIKI,対象査定のうち KB_STIKT の最大値に一致するレコードから取得,TRUNCATE後、INSERT INTO ... SELECTで再作成,車両情報系の型式項目として登録。
8,mj_furusyam,古車名（推定）,STRING,有,なし,なし,なし,${ai21Db}.TBNH004G,MJ_FURUSYAM,対象査定のうち KB_STIKT の最大値に一致するレコードから取得,TRUNCATE後、INSERT INTO ... SELECTで再作成,正式な論理名はDDL/SQLのみでは断定不可。
9,mj_stihzsm,査定表示区分（固定値）,STRING,有,なし,なし,なし,固定値,'1',固定値 '1' を設定,TRUNCATE後、INSERT INTO ... SELECTで再作成,元テーブルから取得せず、SQL内で固定設定。WHERE条件でも MJ_STIHZSM='1' のデータを対象としている。
10,kb_stikt,査定区分,STRING,有,なし,なし,なし,${ai21Db}.TBNH004G,KB_STIKT,対象査定のうち KB_STIKT の最大値に一致するレコードから取得,TRUNCATE後、INSERT INTO ... SELECTで再作成,SQL上はT3.KB_STIKTを設定。複数のKB_STIKTがある場合は最大値を採用する構造。
11,nu_suhkt,走行距離・数値項目（推定）,STRING,有,なし,なし,なし,${ai21Db}.TBNH007G,NU_SUHKT,対象査定のうち KB_STIKT の最大値に一致するレコードから取得,TRUNCATE後、INSERT INTO ... SELECTで再作成,正式な論理名はDDL/SQLのみでは断定不可。カラム名から走行距離系の数値項目と推定。
12,ki_nesita,査定金額・値下後金額（千円単位・推定）,STRING,有,なし,なし,なし,${ai21Db}.TBNH013G / ${ai21Db}.TBNH021G,"TBNH013G.KI_NSTI, TBNH021G.KI_NESITA, TBNH013G.KB_STIKT","CAST(TRUNC(ISNULL(NVL2(T7.KB_STIKT, T7.KI_NSTI, T5.KI_NESITA),0) / 1000) AS STRING) により、T7が存在する場合はKI_NSTI、存在しない場合はKI_NESITAを採用し、NULLは0、1000除算後に切り捨て",TRUNCATE後、INSERT INTO ... SELECTで再作成,金額系項目を千円単位に変換して文字列化。正式な金額定義はDDL/SQLのみでは断定不可。
13,kb_sitakit,下取区分（推定）,STRING,有,なし,なし,なし,${ai21Db}.TBNH021G / ${ai21Db}.TBNH013G,"TBNH021G.KB_SITAKIT, TBNH013G.KB_STIKT","NVL2(T7.KB_STIKT, '', T5.KB_SITAKIT) により、T7が存在する場合は空文字、存在しない場合はT5.KB_SITAKITを設定",TRUNCATE後、INSERT INTO ... SELECTで再作成,正式な論理名はDDL/SQLのみでは断定不可。
14,mj_nejknbk,値引条件備考・備考（推定）,STRING,有,なし,なし,なし,${ai21Db}.TBNH013G / ${ai21Db}.TBNH022G,"TBNH013G.MJ_NSTIBIKO, TBNH022G.MJ_NEJKNBK, TBNH013G.KB_STIKT","NVL2(T7.KB_STIKT, T7.MJ_NSTIBIKO, T6.MJ_NEJKNBK) により、T7が存在する場合はT7.MJ_NSTIBIKO、存在しない場合はT6.MJ_NEJKNBKを設定",TRUNCATE後、INSERT INTO ... SELECTで再作成,TBNH022GはT5.KB_STIKTと一致するレコードを結合。正式な論理名はDDL/SQLのみでは断定不可。
15,cd_stijstan,査定実施担当者コード（推定）,STRING,有,なし,なし,なし,${ai21Db}.TBNH002G,CD_STIJSTAN,対象査定のうち KB_STIKT の最大値に一致するレコードから取得,TRUNCATE後、INSERT INTO ... SELECTで再作成,TBV0014M.CD_SYAINとの結合に使用され、社員名取得のキーになっている。
16,dd_stisgjs,査定実施日（推定）,STRING,有,なし,なし,なし,${ai21Db}.TBNH002G,DD_STISGJS,"FROM_UNIXTIME(UNIX_TIMESTAMP(T8.DD_STISGJS,'yyyyMMdd'),'yyyy/MM/dd') により yyyyMMdd から yyyy/MM/dd 形式へ変換",TRUNCATE後、INSERT INTO ... SELECTで再作成,マスタ有効期間判定にも使用される査定日系項目。正式な論理名はDDL/SQLのみでは断定不可。
17,kj_syainmei,社員名,STRING,有,なし,なし,なし,${ai21Db}.TBV0014M,KJ_SYAINMEI,"REGEXP_REPLACE(T9.KJ_SYAINMEI, '[　 ]+$', '') により末尾の半角・全角スペースを削除",TRUNCATE後、INSERT INTO ... SELECTで再作成,T8.CD_STIJSTAN = T9.CD_SYAIN で社員マスタから取得。
18,mart_created_at,マート作成日時,STRING,無,なし,なし,DDL上: DEFAULT CURRENT_TIMESTAMP / SQL上: CURRENT_TIMESTAMP,システム日時,CURRENT_TIMESTAMP,INSERT実行時の現在日時を設定,TRUNCATE後、INSERT INTO ... SELECTで再作成,DDL上はTIMESTAMP NOT NULL DEFAULT CURRENT_TIMESTAMP。Impala運用前提ではSTRING化とのことなので、実装上のDEFAULT可否は要確認。
