No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,cd_hansya,販社コード,STRING,無,なし,なし,なし,実行パラメータ,#{cdHansya},実行時パラメータを設定,対象販社を識別するコード
2,cd_kaisya,会社コード,STRING,無,なし,なし,なし,実行パラメータ,#{cdKaisya},実行時パラメータを設定,対象会社を識別するコード
3,no_siretyum,仕入注文番号,STRING,無,なし,なし,なし,実行パラメータ,#{noSiretyum},実行時パラメータを設定,SITA側の仕入注文番号。正式名称はSQL内にコメントなし
4,no_syaryou,車両番号,STRING,無,なし,なし,なし,実行パラメータ,#{noSyaryou},実行時パラメータを設定,対象車両を識別する番号
5,kb_idlnum,アイドリング有無区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC004G,KB_IDLNUM,'0' は '無'、'1' は '有'、それ以外は 'ー' に変換,正式名称はSQL内にコメントなし。カラム名からの整理
6,kb_syotum,衝突関連装備有無区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC004G,KB_SYOTUM,'0' は '無'、'1' は '有'、それ以外は 'ー' に変換,正式名称はSQL内にコメントなし。カラム名からの整理
7,kb_pedaum,ペダル関連装備有無区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC004G,KB_PEDAUM,'0' は '無'、'1' は '有'、それ以外は 'ー' に変換,正式名称はSQL内にコメントなし。カラム名からの整理
8,kb_sysnum,システム関連装備有無区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC004G,KB_SYSNUM,'0' は '無'、'1' は '有'、それ以外は 'ー' に変換,正式名称はSQL内にコメントなし。カラム名からの整理
9,kb_snsnum,SNS関連装備有無区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC004G,KB_SNSNUM,'0' は '無'、'1' は '有'、それ以外は 'ー' に変換,正式名称はSQL内にコメントなし。カラム名からの整理
10,kb_airbakum,エアバッグ区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC004G / ${ai21Db}.TBV0231M,KB_AIRBAKUM / MJ_KUBUNNAI,KB_AIRBAKUM が空の場合は 'ー'。値がある場合は TBV0231M の MJ_KUBUNID='0078' の区分名称を取得し、末尾空白を除去,区分マスタから名称変換する装備項目
11,kb_absum,ABS有無区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC004G,KB_ABSUM,'0' は '無'、'1' は '有'、それ以外は 'ー' に変換,ABS装備有無を表す項目
12,cd_hidum,HID区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC004G / ${ai21Db}.TBV0231M,CD_HIDUM / MJ_KUBUNNAI,CD_HIDUM が空の場合は 'ー'。値がある場合は TBV0231M の MJ_KUBUNID='0297' の区分名称を取得し、末尾空白を除去,区分マスタから名称変換する装備項目
13,kb_backmum,バックモニター有無区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC004G,KB_BACKMUM,'0' は '無'、'1' は '有'、それ以外は 'ー' に変換,バックモニター有無を表す項目
14,kb_blndum,ブラインド関連装備有無区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC004G,KB_BLNDUM,'0' は '無'、'1' は '有'、それ以外は 'ー' に変換,正式名称はSQL内にコメントなし。カラム名からの整理
15,kb_panoum,パノラマ関連装備有無区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC004G,KB_PANOUM,'0' は '無'、'1' は '有'、それ以外は 'ー' に変換,正式名称はSQL内にコメントなし。カラム名からの整理
