No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,cd_hansya,販社コード,STRING,無,なし,なし,なし,実行パラメータ,#{cdHansya},実行時パラメータを設定,対象販社を識別するコード
2,cd_kaisya,会社コード,STRING,無,なし,なし,なし,実行パラメータ,#{cdKaisya},実行時パラメータを設定,対象会社を識別するコード
3,cd_hanbaitn,販売店コード,STRING,無,なし,なし,なし,実行パラメータ,#{cdHanbaitn},実行時パラメータを設定,対象販売店を識別するコード
4,no_syadaiba,車台番号,STRING,無,なし,なし,なし,実行パラメータ,#{noSyadaiba},実行時パラメータを設定,車台を識別する番号
5,no_syaryou,車両番号,STRING,無,なし,なし,なし,実行パラメータ,#{noSyaryou},実行時パラメータを設定,車両を識別する番号
6,mj_katasiki,型式,STRING,有,なし,なし,なし,実行パラメータ,#{mjKatasiki},"NVL(#{mjKatasiki}, '') によりNULLを空文字へ変換",UPASS連携用に設定する車両型式
7,dd_syodotor,初度登録日,STRING,有,なし,なし,なし,実行パラメータ,#{ddSyodotor},"NVL(#{ddSyodotor}, '') によりNULLを空文字へ変換",初度登録日。値は実行時パラメータから受け取る
8,cd_zaiksyys,在庫種別コード,STRING,有,なし,なし,なし,実行パラメータ,#{cdZaiksyys},"NVL(#{cdZaiksyys}, '') によりNULLを空文字へ変換",在庫種別を表すコード
9,nu_soukoukm,走行距離,STRING,有,なし,なし,なし,実行パラメータ,#{nuSoukoukm},"NVL(#{nuSoukoukm}, '') によりNULLを空文字へ変換",走行距離
10,nu_suhkt,評価点,STRING,有,なし,なし,なし,実行パラメータ,#{nuSuhkt},"NVL(RTRIM(#{nuSuhkt}), '') により右側空白を除去し、NULLを空文字へ変換",正式名称はSQL内にコメントなし。SITA/査定文脈上の暫定名
11,no_siteruib,指定類別番号,STRING,有,なし,なし,なし,${ai21Db}.TBBC001G,NO_SITERUIB,"NVL(T1.NO_SITERUIB, '') によりNULLを空文字へ変換",車両の指定類別番号
12,mj_doasu,ドア数,STRING,有,なし,なし,なし,${ai21Db}.TBBC001G,MJ_DOASU,"NVL(T1.MJ_DOASU, '') によりNULLを空文字へ変換",ドア数を表す項目
13,nu_haikiryo,排気量,STRING,有,なし,なし,なし,${ai21Db}.TBBC001G,NU_HAIKIRYO,"NVL(CAST(T1.NU_HAIKIRYO AS STRING), '') により文字列化し、NULLを空文字へ変換",排気量
14,kb_engine,エンジン区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC001G,KB_ENGINE,"NVL(T1.KB_ENGINE, '') によりNULLを空文字へ変換",エンジン種別を表す区分
15,dd_syknmanr,車検満了日,STRING,有,なし,なし,なし,${ai21Db}.TBBC001G,DD_SYKNMANR,"NVL(FROM_TIMESTAMP(T1.DD_SYKNMANR, 'yyyy-MM-dd'), '') により日付を yyyy-MM-dd 形式へ変換し、NULLを空文字へ変換",車検満了日をUPASS連携向けの日付文字列に整形
16,cd_mission,ミッションコード,STRING,有,なし,なし,なし,${ai21Db}.TBBC001G,CD_MISSION,"NVL(T1.CD_MISSION, '') によりNULLを空文字へ変換",ミッション種別を表すコード
17,kb_handle,ハンドル区分,STRING,有,なし,なし,なし,${ai21Db}.TBBC001G,KB_HANDLE,"NVL(RTRIM(T1.KB_HANDLE), '') により右側空白を除去し、NULLを空文字へ変換",ハンドル種別を表す区分
