No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,cd_hansya,販社コード,STRING,無,なし,なし,なし,uslim_ve.HANSYAINFO,cd_hansya,USERINFO.cd_hanbaitn = HANSYAINFO.cd_hanbaitn でINNER JOINし、HANSYAINFO の cd_hansya を設定。,販社を識別するコード。DDL上 NOT NULL。HANSYAINFOに紐づかないユーザーはINNER JOINにより対象外。
2,cd_kaisya,会社コード,STRING,無,なし,なし,なし,uslim_ve.HANSYAINFO,cd_kaisya,USERINFO.cd_hanbaitn = HANSYAINFO.cd_hanbaitn でINNER JOINし、HANSYAINFO の cd_kaisya を設定。,会社を識別するコード。DDL上 NOT NULL。
3,cd_hanbaitn,販売店コード,STRING,無,なし,なし,なし,uslim_ve.USERINFO,cd_hanbaitn,USERINFO の cd_hanbaitn をそのまま設定。HANSYAINFOとの結合キーにも使用。,ユーザーが所属する販売店コード。DDL上 NOT NULL。
4,cd_user,ユーザーコード,STRING,無,なし,なし,なし,uslim_ve.USERINFO,cd_user,USERINFO の cd_user をそのまま設定。USERINFO は mj_sakujo IS DISTINCT FROM '1' により削除済みユーザーを除外。,ユーザーを識別するコード。DDL上 NOT NULL。
5,cd_tenpo,店舗コード,STRING,有,なし,なし,なし,uslim_ve.USERINFO,cd_tenpo,USERINFO の cd_tenpo をそのまま設定。店舗マスタ・KPI対象店舗との結合キーにも使用。,ユーザーが所属する店舗コード。
6,cd_syain,社員コード,STRING,有,なし,なし,なし,uslim_ve.USERINFO,cd_syain,USERINFO の cd_syain をそのまま設定。TBV0014Mとの結合キーにも使用。,ユーザーに紐づく社員コード。
7,mj_name,氏名,STRING,有,なし,なし,なし,uslim_ve.USERINFO,mj_name,USERINFO の mj_name をそのまま設定。,ユーザーの氏名。
8,mj_role,ロール,STRING,有,なし,なし,なし,uslim_ve.USERINFO,mj_role,USERINFO の mj_role をそのまま設定。cd_chiiki のCASE判定にも使用。,ユーザーの役割区分。SQL上は DEV、TMC、それ以外の分岐に使用。
9,kb_access_honten,本店アクセス権限区分,STRING,有,なし,なし,なし,uslim_ve.USERINFO,kb_access_honten,USERINFO の kb_access_honten をそのまま設定。,本店アクセスに関する権限区分。値の詳細意味はDDL・SQLのみでは判断不可。
10,kb_access_hansya,販社アクセス権限区分,STRING,有,なし,なし,なし,uslim_ve.USERINFO,kb_access_hansya,USERINFO の kb_access_hansya をそのまま設定。,販社アクセスに関する権限区分。値の詳細意味はDDL・SQLのみでは判断不可。
11,kb_access_yoyaku,予約アクセス権限区分,STRING,有,なし,なし,なし,uslim_ve.USERINFO,kb_access_yoyaku,USERINFO の kb_access_yoyaku をそのまま設定。,予約系機能へのアクセス権限区分。値の詳細意味はDDL・SQLのみでは判断不可。
12,kb_hansya_mente,販社メンテナンス権限区分,STRING,有,なし,なし,なし,uslim_ve.USERINFO,kb_hansya_mente,USERINFO の kb_hansya_mente をそのまま設定。,販社メンテナンス機能に関する権限区分。
