No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,cd_hansya,販社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,cd_hansya,tbba001g.cd_hansya をそのまま出力。,販社を識別するコード。dx_ve.vbi002001_en と販社・会社・店舗コードで INNER JOIN され、対象店舗に絞り込まれる。
2,cd_kaisya,会社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,cd_kaisya,tbba001g.cd_kaisya をそのまま出力。,会社を識別するコード。dx_ve.vbi002001_en と販社・会社・店舗コードで INNER JOIN される。
3,cd_tenpo,店舗コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,cd_tenpo,tbba001g.cd_tenpo をそのまま出力。,店舗を識別するコード。dx_ve.vbi002001_en と販社・会社・店舗コードで INNER JOIN される。
4,cd_hansya_kaisya_tenpo,販社会社店舗コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,"cd_hansya, cd_kaisya, cd_tenpo",tbba001g.cd_hansya || tbba001g.cd_kaisya || tbba001g.cd_tenpo により連結して出力。,販社コード・会社コード・店舗コードを連結した店舗識別用コード。
5,su_order,当月受注件数,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,dd_jucyu,"MONTH(tbba001g.dd_jucyu) = MONTH(FROM_UTC_TIMESTAMP(UTC_TIMESTAMP(), 'JST')) の場合 1、それ以外は 0。",当月受注を示すフラグ兼件数項目。SQL上は月のみで判定しており、年の一致条件は明示されていない。
6,su_registered_vehicle,当月登録車両件数,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,dd_touroku,"MONTH(tbba001g.dd_touroku) = MONTH(FROM_UTC_TIMESTAMP(UTC_TIMESTAMP(), 'JST')) の場合 1、それ以外は 0。",当月登録車両を示すフラグ兼件数項目。SQL上は月のみで判定しており、年の一致条件は明示されていない。
7,su_no_trade_in_vehicle_registered_this_month,当月登録・下取なし車両件数,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g / ai21rep_ve_dx.tbba052g,"dd_touroku, su_sitadori",当月登録判定に加え、tbba052g.su_sitadori = 0 の場合 1、それ以外は 0。,当月登録車両のうち、下取車両がないものを示す件数項目。
8,su_average_lead_time_for_collections_completed_this_month,当月回収完了平均リードタイム,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g / ai21rep_ve_dx.tbba052g,"dd_urikzumi, dd_fr, ki_haseirui, ki_genknykg, ki_sitanykg, ki_fuharnyk","店舗別サブクエリで、登録日あり・未回収額が0・売上済日が当月のデータを対象に AVG(DATEDIFF(CAST(dd_urikzumi AS DATE), CAST(dd_fr AS DATE))) を算出し、外側で COALESCE(su_avg_lead_time, 0) として出力。",当月回収完了分の平均リードタイム。該当データがない場合は0。
9,su_currently_registered_but_uncollected_case,現在登録済未回収件数,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,"dd_touroku, dd_urikzumi",tbba001g.dd_touroku IS NOT NULL かつ tbba001g.dd_urikzumi IS NULL の場合 1、それ以外は 0。,登録済だが回収未完了の現在件数。
10,su_currently_registered_uncollected_amount,現在登録済未回収金額,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g / ai21rep_ve_dx.tbba052g,"dd_touroku, dd_urikzumi, ki_haseirui, ki_genknykg, ki_sitanykg, ki_fuharnyk",登録済かつ未回収の場合、tbba052g.ki_haseirui - tbba052g.ki_genknykg - tbba052g.ki_sitanykg - tbba052g.ki_fuharnyk を出力。それ以外は0。,登録済未回収分の金額。
11,su_registered_but_uncollected_items_from_the_previous_month,前月登録済未回収件数,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,"dd_touroku, dd_urikzumi","登録済かつ未回収で、TRUNC(dd_touroku, 'month') = TRUNC(ADD_MONTHS(FROM_UTC_TIMESTAMP(UTC_TIMESTAMP(), 'JST'), -1), 'month') の場合 1、それ以外は 0。",前月に登録された未回収案件の件数。
