No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,販社コード,販社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,cd_hansya,t201m.cd_hansya をそのまま出力,店舗マスタ側の販社コード
2,会社コード,会社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,cd_kaisya,t201m.cd_kaisya をそのまま出力,店舗マスタ側の会社コード
3,店舗コード,店舗コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,cd_tenpo,t201m.cd_tenpo をそのまま出力,店舗マスタ側の店舗コード
4,販社会社店舗,販社会社店舗コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0201m,"cd_hansya, cd_kaisya, cd_tenpo","CONCAT(t201m.cd_hansya, t201m.cd_kaisya, t201m.cd_tenpo)",販社コード・会社コード・店舗コードを連結した店舗識別キー
5,新車下取数,新車下取数,STRING,有,なし,なし,なし,集計サブクエリ newcar（主: ai21rep_ve_dx.tbba001g / ai21rep_ve_dx.tbba003g）,"calflg, tbba003g_1.新車下取数","NVL(newcar.新車下取数, 0)。newcar内で SUM(新車下取数)。内側では SUM(CASE WHEN tbba003g_1.新車下取数 > 0 THEN calflg ELSE 0 END) により算出",tbba003g_1 は tbba003g を kb_sincyu = '1' で絞り、注文番号・枝番単位に COUNT(1) した下取有無判定。売上/取消は calflg(+1/-1) で正味化
6,新車入会数,新車入会数,STRING,有,なし,なし,なし,集計サブクエリ newcar（主: ai21rep_ve_dx.tbba052g）,"kb_mntpkkei, calflg","NVL(newcar.入会数, 0)。newcar内で SUM(入会数)。内側では SUM(CASE WHEN NVL(REPLACE(REPLACE(tbba052g.kb_mntpkkei, '　', ''), ' ', ''),'') <> '' THEN calflg ELSE 0 END) により算出",メンテパック系区分 kb_mntpkkei から全角/半角スペースを除去し、空でない場合を入会としてカウント。売上/取消は calflg(+1/-1) で正味化
7,新車直販数,新車直販数,STRING,有,なし,なし,なし,集計サブクエリ newcar（主: ai21rep_ve_dx.tbba056g）,"kb_gyocyok, calflg","NVL(newcar.直販数, 0)。newcar内で SUM(直販数)。内側では SUM(CASE WHEN TBBA056G.kb_gyocyok = '1' THEN calflg ELSE 0 END) により算出",TBBA056G の業直区分 kb_gyocyok = '1' を直販として判定。売上/取消は calflg(+1/-1) で正味化
8,直販下取数,直販下取数,STRING,有,なし,なし,なし,集計サブクエリ newcar（主: ai21rep_ve_dx.tbba056g / ai21rep_ve_dx.tbba003g）,"kb_gyocyok, tbba003g_1.新車下取数, calflg","NVL(newcar.直販下取数, 0)。newcar内で SUM(直販下取数)。内側では SUM(CASE WHEN TBBA056G.kb_gyocyok = '1' AND tbba003g_1.新車下取数 > 0 THEN calflg ELSE 0 END) により算出",直販かつ下取ありの新車実績をカウント。売上/取消は calflg(+1/-1) で正味化
9,新車軽OEM数,新車軽OEM数,STRING,有,なし,なし,なし,集計サブクエリ newcar（主: ai21rep_ve_dx.tbba001g / ai21rep_ve_dx.tbbf001m）,"calflg, TBBF001M.kn_kei","NVL(newcar.新車軽OEM数, 0)。newcar内で SUM(CASE WHEN 軽区分 = '1' THEN 新車数 ELSE 0 END)。新車数は SUM(calflg)",TBBF008M を経由して TBBF001M の kn_kei を軽区分として取得。軽区分 = '1' の新車数を軽OEMとして集計
10,新車登録車数,新車登録車数,STRING,有,なし,なし,なし,集計サブクエリ newcar（主: ai21rep_ve_dx.tbba001g / ai21rep_ve_dx.tbbf001m）,"calflg, TBBF001M.kn_kei","NVL(newcar.新車登録車数, 0)。newcar内で SUM(CASE WHEN NVL(軽区分,'') != '1' THEN 新車数 ELSE 0 END)。新車数は SUM(calflg)",軽区分が '1' 以外の新車数を登録車として集計。NULL/空文字も登録車側に含まれる
