No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,販社コード,販社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbaz030m,cd_hansya,tz030m.cd_hansya をそのまま取得,メイン元テーブルの販社コード。
2,会社コード,会社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbaz030m,cd_kaisya,tz030m.cd_kaisya をそのまま取得,メイン元テーブルの会社コード。
3,お客様コード,お客様コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbaz030m,cd_okyaku,tz030m.cd_okyaku をそのまま取得,お客様を識別するコード。dx_ve.vbi011005 との INNER JOIN キーにも使用。
4,スタッフエリアコード,スタッフエリアコード,STRING,有,なし,なし,なし,dx_ve.vbi011005,cd_zon,vbi011005.cd_zon を取得,お客様に紐づくスタッフ店舗のエリアコード。
5,スタッフエリア名,スタッフエリア名,STRING,有,なし,なし,なし,dx_ve.vbi011005,kj_zonmei,vbi011005.kj_zonmei を取得,お客様に紐づくスタッフ店舗のエリア名。
6,スタッフ店舗名,スタッフ店舗名,STRING,有,なし,なし,なし,dx_ve.vbi011005,kj_tenpomei,vbi011005.kj_tenpomei を取得,スタッフ店舗名。
7,テーブル店舗名,テーブル店舗名,STRING,有,なし,なし,なし,dx_ve.vbi011005,kj_tenpomei,vbi011005.kj_tenpomei を取得,SQL上はスタッフ店舗名と同じ vbi011005.kj_tenpomei を設定。
8,スタッフ名,スタッフ名,STRING,有,なし,なし,なし,dx_ve.vbi011005,kj_syainmei,vbi011005.kj_syainmei を取得,スタッフコードに紐づく社員名。
9,店舗スタッフ,店舗スタッフ,STRING,有,なし,なし,なし,dx_ve.vbi011005,"cd_stafften, cd_staff","CONCAT(vbi011005.cd_stafften, vbi011005.cd_staff) で連結",スタッフ店舗コードとスタッフコードを連結した値。
10,実施区分,実施区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbaz031m,kb_jissi,tz031m.kb_jissi を取得,メンテパック等の実施区分。tbaz031m は契約・車両キーおよび no_table と vbi011001.no_renban で結合。
