帳票,Hue上のテーブル名,xlsx上の区分/和名,Iceberg判定,Table Type,ストレージアカウント,コンテナ,格納パス,LOCATION,metadata_location,パーティション,numRows,確認方法,備考
新車売掛金,gold.vbi002001,新車売掛金店舗別,Iceberg,EXTERNAL_TABLE,sttoyotecdapveje,data,/warehouse/tablespace/external/hive/gold.db/vbi002001,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002001,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002001/metadata/00000-e820f118-eeff-4c4f-bf3b-48a35b51f9f3.metadata.json,確認できず,確認できず,DESCRIBE FORMATTED,Iceberg化後。metadata_location確認済。format-version=2。snapshot-count=0。元テーブル名で再作成済
新車売掛金,gold.vbi002001_en,新車売掛金店舗別,Iceberg,EXTERNAL_TABLE,sttoyotecdapveje,data,/warehouse/tablespace/external/hive/gold.db/vbi002001_en,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002001_en,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002001_en/metadata/00000-a6c9189b-5692-49f6-8112-71fcab776e69.metadata.json,確認できず,確認できず,DESCRIBE FORMATTED,Iceberg化後。metadata_location確認済。format-version=2。snapshot-count=0。vbi002001の英語カラム版と見られる
新車売掛金,gold.vbi002002,エリア統括部と店舗別,Iceberg,EXTERNAL_TABLE,sttoyotecdapveje,data,/warehouse/tablespace/external/hive/gold.db/vbi002002,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002002,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002002/metadata/00000-8cae74d1-5067-4400-8807-32d92e4677fd.metadata.json,確認できず,確認できず,DESCRIBE FORMATTED,Iceberg化後。metadata_location確認済。format-version=2。snapshot-count=0。vbi002001_en、vbi002004_enを参照
新車売掛金,gold.vbi002003,新車売掛金回転日数,Iceberg,EXTERNAL_TABLE,sttoyotecdapveje,data,/warehouse/tablespace/external/hive/gold.db/vbi002003,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002003,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002003/metadata/00000-46daf0fd-c6ea-48e7-84c2-72c9d2279922.metadata.json,確認できず,確認できず,DESCRIBE FORMATTED,Iceberg化後。metadata_location確認済。format-version=2。snapshot-count=0。月カラムはTINYINT回避のためINTへ明示CAST済
新車売掛金,gold.vbi002004,新車売掛金回収状況,Iceberg,EXTERNAL_TABLE,sttoyotecdapveje,data,/warehouse/tablespace/external/hive/gold.db/vbi002004,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002004,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002004/metadata/00000-15c3f611-e9e0-4cb3-b8a5-e7a62e2f490a.metadata.json,確認できず,確認できず,DESCRIBE FORMATTED,Iceberg化後。metadata_location確認済。format-version=2。snapshot-count=0。vbi002004_enを参照
新車売掛金,gold.vbi002004_en,新車売掛金回収状況,Iceberg,EXTERNAL_TABLE,sttoyotecdapveje,data,/warehouse/tablespace/external/hive/gold.db/vbi002004_en,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002004_en,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002004_en/metadata/00000-a2cd28bf-6e26-4ad4-ba81-dbe79345055d.metadata.json,確認できず,確認できず,DESCRIBE FORMATTED,Iceberg化後。metadata_location確認済。format-version=2。snapshot-count=0。vbi002004の英語カラム版と見られる
新車売掛金,gold.vbi002005,新車売掛金残高,Iceberg,EXTERNAL_TABLE,sttoyotecdapveje,data,/warehouse/tablespace/external/hive/gold.db/vbi002005,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002005,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002005/metadata/00000-0863f01d-2bb5-4e98-b578-36122e0fce95.metadata.json,確認できず,確認できず,DESCRIBE FORMATTED,Iceberg化後。metadata_location確認済。format-version=2。snapshot-count=0
新車売掛金,gold.vbi002006,新車売掛金明細_アラート判断,Iceberg,EXTERNAL_TABLE,sttoyotecdapveje,data,/warehouse/tablespace/external/hive/gold.db/vbi002006,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002006,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002006/metadata/00000-5f0ec280-01c2-47e0-b6f5-cc61a6dd750b.metadata.json,確認できず,確認できず,DESCRIBE FORMATTED,Iceberg化後。metadata_location確認済。format-version=2。snapshot-count=0。リードタイム日等はINTへ明示CAST済
新車売掛金,gold.vbi002007,新車売掛金履歴,Iceberg,EXTERNAL_TABLE,sttoyotecdapveje,data,/warehouse/tablespace/external/hive/gold.db/vbi002007,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002007,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002007/metadata/00000-b468b2e1-4d9d-48e8-95a0-ee8179cde885.metadata.json,確認できず,確認できず,DESCRIBE FORMATTED,Iceberg化後。metadata_location確認済。format-version=2。snapshot-count=0。件数はTINYINT回避のためINTへ明示CAST済
新車売掛金,gold.vbi002008,新車売掛金回転日数_売上金額,Iceberg,EXTERNAL_TABLE,sttoyotecdapveje,data,/warehouse/tablespace/external/hive/gold.db/vbi002008,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002008,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002008/metadata/00000-5ccc0820-1f67-493f-920d-7c7da93f500a.metadata.json,確認できず,確認できず,DESCRIBE FORMATTED,Iceberg化後。metadata_location確認済。format-version=2。snapshot-count=0
新車売掛金,gold.vbi002011,新車売掛金明細,Iceberg,EXTERNAL_TABLE,sttoyotecdapveje,data,/warehouse/tablespace/external/hive/gold.db/vbi002011,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002011,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/external/hive/gold.db/vbi002011/metadata/00000-8f86f682-c4cd-42d4-8428-3965315ad02a.metadata.json,確認できず,確認できず,DESCRIBE FORMATTED,Iceberg化後。metadata_location確認済。format-version=2。snapshot-count=0。買主名・名義人・社員名などを含むため、利用時は権限/表示範囲に注意
