No,帳票,Hue上のテーブル名,xlsx上の区分/和名,Table Type,Iceberg判定,ストレージアカウント,コンテナ,格納パス,LOCATION,形式,確認方法,備考
1,新車売掛金,gold.vbi002001,新車売掛金店舗別,MANAGED_TABLE,Iceberg情報なし（Hive管理Parquet）,sttoyotecdapveje,data,/warehouse/tablespace/managed/hive/gold.db/vbi002001,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/managed/hive/gold.db/vbi002001,Parquet,DESCRIBE FORMATTED,xlsx上ではビュー扱いだったが、Hue上ではgoldのMANAGED_TABLEとして確認
2,新車売掛金,gold.vbi002001_en,新車売掛金店舗別,MANAGED_TABLE,Iceberg情報なし（Hive管理Parquet）,sttoyotecdapveje,data,/warehouse/tablespace/managed/hive/gold.db/vbi002001_en,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/managed/hive/gold.db/vbi002001_en,Parquet,DESCRIBE FORMATTED,vbi002001の英語カラム版と見られる
3,新車売掛金,gold.vbi002002,エリア統括部と店舗別,MANAGED_TABLE,Iceberg情報なし（Hive管理Parquet）,sttoyotecdapveje,data,/warehouse/tablespace/managed/hive/gold.db/vbi002002,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/managed/hive/gold.db/vbi002002,Parquet,DESCRIBE FORMATTED,エリア統括部・店舗別の件数/金額系集計テーブルと見られる
4,新車売掛金,gold.vbi002003,新車売掛金回転日数,MANAGED_TABLE,Iceberg情報なし（Hive管理Parquet）,sttoyotecdapveje,data,/warehouse/tablespace/managed/hive/gold.db/vbi002003,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/managed/hive/gold.db/vbi002003,Parquet,DESCRIBE FORMATTED,月別・販社会社店舗別の売掛金残高/売上額系テーブルと見られる
5,新車売掛金,gold.vbi002004,新車売掛金回収状況,MANAGED_TABLE,Iceberg情報なし（Hive管理Parquet）,sttoyotecdapveje,data,/warehouse/tablespace/managed/hive/gold.db/vbi002004,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/managed/hive/gold.db/vbi002004,Parquet,DESCRIBE FORMATTED,新車売掛金回収状況の日本語カラム版
6,新車売掛金,gold.vbi002004_en,新車売掛金回収状況,MANAGED_TABLE,Iceberg情報なし（Hive管理Parquet）,sttoyotecdapveje,data,/warehouse/tablespace/managed/hive/gold.db/vbi002004_en,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/managed/hive/gold.db/vbi002004_en,Parquet,DESCRIBE FORMATTED,vbi002004の英語カラム版と見られる
7,新車売掛金,gold.vbi002005,新車売掛金残高,MANAGED_TABLE,Iceberg情報なし（Hive管理Parquet）,sttoyotecdapveje,data,/warehouse/tablespace/managed/hive/gold.db/vbi002005,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/managed/hive/gold.db/vbi002005,Parquet,DESCRIBE FORMATTED,未回収件数・未回収金額などの残高系集計テーブルと見られる
8,新車売掛金,gold.vbi002006,新車売掛金明細_アラート判断,MANAGED_TABLE,Iceberg情報なし（Hive管理Parquet）,sttoyotecdapveje,data,/warehouse/tablespace/managed/hive/gold.db/vbi002006,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/managed/hive/gold.db/vbi002006,Parquet,DESCRIBE FORMATTED,アラート判断に使う明細系テーブルと見られる
9,新車売掛金,gold.vbi002007,新車売掛金履歴,MANAGED_TABLE,Iceberg情報なし（Hive管理Parquet）,sttoyotecdapveje,data,/warehouse/tablespace/managed/hive/gold.db/vbi002007,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/managed/hive/gold.db/vbi002007,Parquet,DESCRIBE FORMATTED,発生額・入金額・伝票番号などを持つ履歴系テーブルと見られる
10,新車売掛金,gold.vbi002008,新車売掛金回転日数_売上金額,MANAGED_TABLE,Iceberg情報なし（Hive管理Parquet）,sttoyotecdapveje,data,/warehouse/tablespace/managed/hive/gold.db/vbi002008,abfs://data@sttoyotecdapveje.dfs.core.windows.net/warehouse/tablespace/managed/hive/gold.db/vbi002008,Parquet,DESCRIBE FORMATTED,月別の借方金額/貸方金額を横持ちした集計テーブルと見られる
