No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,更新方法,説明/備考
1,cd_hansya,販社コード,STRING,無,－,－,－,uslim_ve.FILEDOWNLOADLOG,cd_hansya,t_fdl.cd_hansya をそのまま設定,全件洗い替え（TRUNCATE → INSERT）,ファイルダウンロードログの販社を識別するコード。DDL上は VARCHAR(50) NOT NULL だが、Impala向けに STRING として扱う。
2,cd_kaisya,会社コード,STRING,無,－,－,－,uslim_ve.FILEDOWNLOADLOG,cd_kaisya,t_fdl.cd_kaisya をそのまま設定,全件洗い替え（TRUNCATE → INSERT）,ファイルダウンロードログの会社を識別するコード。DDL上は VARCHAR(50) NOT NULL だが、Impala向けに STRING として扱う。
3,cd_user,ユーザーコード,STRING,無,－,－,－,uslim_ve.FILEDOWNLOADLOG,cd_user,t_fdl.cd_user をそのまま設定,全件洗い替え（TRUNCATE → INSERT）,ファイルをダウンロードしたユーザーを識別するコード。DDL上は VARCHAR(50) NOT NULL だが、Impala向けに STRING として扱う。
4,dt_download,ダウンロード日時,STRING,無,－,－,－,uslim_ve.FILEDOWNLOADLOG,dt_download,t_fdl.dt_download を設定。DDL上は TIMESTAMP NOT NULL だが、運用方針により STRING として扱う想定。必要に応じて明示的な文字列変換を確認する。,全件洗い替え（TRUNCATE → INSERT）,ファイルをダウンロードした日時。時刻まで含む項目。
5,dt_download_str,ダウンロード日時文字列,STRING,有,－,－,－,uslim_ve.FILEDOWNLOADLOG,dt_download,"FROM_TIMESTAMP(t_fdl.dt_download, 'yyyy/MM/dd HH:mm:ss') により表示用の日時文字列へ変換",全件洗い替え（TRUNCATE → INSERT）,画面表示やCSV出力などで扱いやすい形式のダウンロード日時。
6,dd_download,ダウンロード日,DATE,有,－,－,－,uslim_ve.FILEDOWNLOADLOG,dt_download,CAST(t_fdl.dt_download AS DATE) により日時から日付部分のみを抽出,全件洗い替え（TRUNCATE → INSERT）,日別集計や日付フィルター用の項目。DDL上は DATE。
7,kb_file,ファイル区分,STRING,有,－,－,－,uslim_ve.FILEDOWNLOADLOG,kb_file,t_fdl.kb_file をそのまま設定,全件洗い替え（TRUNCATE → INSERT）,ダウンロードされたファイルの種類を表すコード。DDL上は VARCHAR(10) だが、Impala向けに STRING として扱う。
8,kb_file_label,ファイル区分名,STRING,有,－,－,－,uslim_ve.FILEDOWNLOADLOG,kb_file,CASE t_fdl.kb_file WHEN '1' THEN '車両明細' WHEN '2' THEN '提案予定状況管理' WHEN '3' THEN 'ユーザー管理' WHEN '4' THEN 'ユーザー別実績管理' WHEN '5' THEN '工程管理' ELSE '未定義' END,全件洗い替え（TRUNCATE → INSERT）,ファイル区分コードを人が読める名称に変換した項目。DDL上は VARCHAR(100) だが、Impala向けに STRING として扱う。
9,mj_file,ファイル名,STRING,有,－,－,－,uslim_ve.FILEDOWNLOADLOG,mj_file,t_fdl.mj_file をそのまま設定,全件洗い替え（TRUNCATE → INSERT）,ダウンロードされたファイル名またはファイル情報。DDL上は VARCHAR(500) だが、Impala向けに STRING として扱う。
10,mj_name,ユーザー名,STRING,有,－,－,－,uslim_ve.USERINFO / uslim_ve.ACCESSUSER,mj_name,"NVL(t_user.mj_name, t_au.mj_name) により、USERINFO のユーザー名を優先し、NULL の場合は ACCESSUSER のユーザー名で補完",全件洗い替え（TRUNCATE → INSERT）,ダウンロードユーザーの表示名。USERINFO と ACCESSUSER は cd_user で FILEDOWNLOADLOG に LEFT JOIN される。
11,cd_chiiki,地域コード,STRING,有,－,－,－,uslim_ve.HANSYAINFO,cd_chiiki,t_hsif.cd_chiiki を設定。FILEDOWNLOADLOG の cd_hansya・cd_kaisya と HANSYAINFO を LEFT JOIN して取得,全件洗い替え（TRUNCATE → INSERT）,販社・会社に紐づく地域コード。DDL上は VARCHAR(50) だが、Impala向けに STRING として扱う。
12,cd_hanbaitn,販売店コード,STRING,有,－,－,－,uslim_ve.HANSYAINFO,cd_hanbaitn,t_hsif.cd_hanbaitn を設定。FILEDOWNLOADLOG の cd_hansya・cd_kaisya と HANSYAINFO を LEFT JOIN して取得,全件洗い替え（TRUNCATE → INSERT）,販社・会社に紐づく販売店コード。DDL上は VARCHAR(50) だが、Impala向けに STRING として扱う。
13,kj_kaisyatn,会社店舗名,STRING,有,－,－,－,uslim_ve.HANSYAINFO,kj_hanbaitn,t_hsif.kj_hanbaitn を kj_kaisyatn として設定,全件洗い替え（TRUNCATE → INSERT）,販売店名または会社店舗名として使用される表示用名称。DDL上は VARCHAR(255) だが、Impala向けに STRING として扱う。
14,link_key,リンクキー,STRING,有,－,－,－,uslim_ve.HANSYAINFO,cd_hanbaitn,"'{""hanbaitn"": [""' || t_hsif.cd_hanbaitn || '""]}' により、販売店コードを JSON 形式風の文字列に加工",全件洗い替え（TRUNCATE → INSERT）,画面側のリンク・フィルター連携などに使用する想定のキー。SQLからは販売店コードを含む文字列であることまで確認可能。
15,mart_created_at,マート作成日時,STRING,無,－,－,CURRENT_TIMESTAMP,システム関数,NOW(),SQLでは NOW() を明示的に設定。DDL上は TIMESTAMP NOT NULL DEFAULT CURRENT_TIMESTAMP だが、運用方針により STRING として扱う想定,全件洗い替え（TRUNCATE → INSERT）,データマートのレコード作成日時。DDLにはデフォルト値があるが、今回のINSERTでは NOW() を明示設定している。
