No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,source_type,データソース区分,STRING,無,なし,なし,なし,固定値,固定値,SITAデータは'SITA'、在庫データは'ZAIKO'、GAZOO共通在庫データは'GAZOO'を設定,車両データの取得元を識別する区分。DDL上はNOT NULL。
2,cd_hansya,販社コード,STRING,有,なし,なし,なし,パラメータ / GAZOOはNULL,#{cdHansya} / NULL,SITA・ZAIKOは実行パラメータ #{cdHansya} を設定。GAZOOはNULLを設定,販社単位での絞り込みに利用するコード。
3,cd_kaisya,会社コード,STRING,有,なし,なし,なし,パラメータ / GAZOOはNULL,#{cdKaisya} / NULL,SITA・ZAIKOは実行パラメータ #{cdKaisya} を設定。GAZOOはNULLを設定,会社単位での絞り込みに利用するコード。
4,cd_hanbaitn,販売店コード,STRING,有,なし,なし,なし,パラメータ / GAZOOはNULL,#{cdHanbaitn} / NULL,SITA・ZAIKOは実行パラメータ #{cdHanbaitn} を設定。GAZOOはNULLを設定,販売店単位での絞り込みに利用するコード。
5,no_syadaiba,車台番号,STRING,有,なし,なし,なし,TBBC003G / TBBC001G / GAZOOはNULL,TBBC003G.NO_SYADAIBA / TBBC001G.NO_SYADAIBA / NULL,SITAはRTRIM(TBBC003G.NO_SYADAIBA)、ZAIKOはRTRIM(TBBC001G.NO_SYADAIBA)、GAZOOはNULL,車両を識別する番号の一つ。末尾空白を除去。
6,no_syaryou,車両番号,STRING,有,なし,なし,なし,TBBC001G / その他はNULL,TBBC001G.NO_SYARYOU / NULL,ZAIKOはTBBC001G.NO_SYARYOUを設定。SITA・GAZOOはNULL,在庫車両側で保持される車両番号。
7,no_siretyum,仕入注文番号,STRING,有,なし,なし,なし,TBBC003G / TBBC001G / GAZOOはNULL,TBBC003G.NO_SIRETYUM / TBBC001G.NO_SIRETYUM / NULL,SITAはTBBC003G.NO_SIRETYUM、ZAIKOはTBBC001G.NO_SIRETYUM、GAZOOはNULL,仕入注文を識別する番号。
8,cd_syamei,車名コード,STRING,有,なし,なし,なし,TBV0232M / GAZOOKYOUZAIKOINFO,TBV0232M.CD_SYAMEI / T_GKZI.CD_SYAMEIAI,SITA・ZAIKOはTBV0232M.CD_SYAMEI。GAZOOはT_GKZI.CD_SYAMEIAIを設定,車名をコードで識別する項目。
9,mj_syamei,車名,STRING,有,なし,なし,なし,GAZOOCMNCARNM / GAZOODLRCARNM / TBV0232M / GAZOOKYOUZAIKOINFO,T_GCCN1.CAR_NM / T_GCCN2.CAR_NM / TBV0232M.KJ_SYAMEI / T_GKZI.KJ_SYAMEI,"SITA・ZAIKOはCOALESCE(T_GCCN1.CAR_NM, T_GCCN2.CAR_NM, REGEXP_REPLACE(TBV0232M.KJ_SYAMEI, '[　 ]+$', ''))。GAZOOはT_GKZI.KJ_SYAMEI",画面表示・車名フィルタの元になる車名。名称末尾の空白を除去。
10,cd_maker,メーカーコード,STRING,有,なし,なし,なし,TBV0232M / GAZOOKYOUZAIKOINFO / TBV0205M,TBV0232M.CD_MAKER / T_GKZI.CD_MAKER / TBV0205M.CD_MAKER,SITA・ZAIKOはTBV0232M.CD_MAKER。GAZOOはCD_MAKERが'12'以外ならT_GKZI.CD_MAKER、TBV0205Mに一致があればTBV0205M.CD_MAKER、それ以外は'01',メーカーを識別するコード。GAZOO側では一部メーカーコード補正あり。
11,mj_katasiki,型式,STRING,有,なし,なし,なし,TBBC003G / TBBC001G / GAZOOKYOUZAIKOINFO,TBBC003G.MJ_KATASIKI / TBBC001G.MJ_KATASIKI / T_GKZI.MJ_KATASIKI,"SITAはREGEXP_REPLACE(TBBC003G.MJ_KATASIKI, '[　 ]+$', '')、ZAIKOはREGEXP_REPLACE(TBBC001G.MJ_KATASIKI, '[　 ]+$', '')、GAZOOはREGEXP_REPLACE(T_GKZI.MJ_KATASIKI, '[　 ]+$', '')",型式フィルタの元になる項目。末尾空白を除去。
12,no_siteruib,仕入類別番号,STRING,有,なし,なし,なし,TBBC003G / TBBC001G / GAZOOはNULL,TBBC003G.NO_SITERUIB / TBBC001G.NO_SITERUIB / NULL,SITAはTBBC003G.NO_SITERUIB、ZAIKOはTBBC001G.NO_SITERUIB、GAZOOはNULL,仕入グレード取得時にTBV0229Mとの結合キーとして使用。
13,mj_siteruib_guredo,仕入類別グレード,STRING,有,なし,なし,なし,TBV0229M / GAZOOKYOUZAIKOINFO,TBV0229M.MJ_GUREDO / T_GKZI.MJ_GUREDO,"SITA・ZAIKOはNVL(NULLIF(RTRIM(TBV0229M.MJ_GUREDO), ''), 'その他')。GAZOOはNVL(NULLIF(RTRIM(T_GKZI.MJ_GUREDO), ''), 'その他')",仕入グレードの表示名。空文字の場合は「その他」。
14,mj_sate_guredo,査定グレード,STRING,有,なし,なし,なし,GAZOOKYOUZAIKOINFO / その他はNULL,T_GKZI.MJ_GUREDO / NULL,"SITA・ZAIKOはNULL。GAZOOはNVL(NULLIF(RTRIM(T_GKZI.MJ_GUREDO), ''), 'その他')",GAZOO側のグレードを査定グレードとして保持。
15,su_syodotor,初度登録年月,INT,有,なし,なし,なし,TBBC003G / TBBC001G / GAZOOKYOUZAIKOINFO,TBBC003G.SU_SYODOTOR / TBBC001G.SU_SYODOTOR / T_GKZI.SU_SYODOTOR,SITAはTBBC003G.SU_SYODOTOR、ZAIKOはTBBC001G.SU_SYODOTOR、GAZOOはCAST(T_GKZI.SU_SYODOTOR AS INT),初度登録年月。syodotor_year算出の元項目。
16,syodotor_year,初度登録年,INT,有,なし,なし,なし,派生項目,su_syodotor,CASE WHEN su_syodotor IS NOT NULL AND su_syodotor <> 0 THEN su_syodotor DIV 100 ELSE NULL END,初度登録年月から年だけを抽出した項目。例：202105→2021。
17,nu_soukoukm,走行距離,BIGINT,有,なし,なし,なし,TBBC003G / TBBC001G / GAZOOはNULL,TBBC003G.NU_SOUKOUKM / TBBC001G.NU_SOUKOUKM / NULL,SITAはTBBC003G.NU_SOUKOUKM、ZAIKOはTBBC001G.NU_SOUKOUKM、GAZOOはNULL,車両の走行距離。
18,cd_syufukre,修復歴コード,STRING,有,なし,なし,なし,TBBC003G / TBBC001G / GAZOOはNULL,TBBC003G.CD_SYUFUKRE / TBBC001G.CD_SYUFUKRE / NULL,SITAはRTRIM(TBBC003G.CD_SYUFUKRE)、ZAIKOはRTRIM(TBBC001G.CD_SYUFUKRE)、GAZOOはNULL,修復歴を表すコード。末尾空白を除去。
19,kb_uriagyot,売上業態区分,STRING,有,なし,なし,なし,TBBC003G / TBBC001G / GAZOOはNULL,TBBC003G.KB_URIAGYOT / TBBC001G.KB_URIAGYOT / NULL,"SITAはRTRIM(LEFT(TBBC003G.KB_URIAGYOT, 1))、ZAIKOはRTRIM(LEFT(TBBC001G.KB_URIAGYOT, 1))、GAZOOはNULL",売上業態の先頭1桁を取得して保持。
20,nu_suhkt,諸費用等区分,STRING,有,なし,なし,なし,固定値,NULL,SITA・ZAIKO・GAZOOすべてNULLを設定,DDL上は項目があるが、共有SQLでは値を投入していない。
21,mj_ncfr,NC/FR区分,STRING,有,なし,なし,なし,TBBA001G / 固定値,"TBBA001G.CD_KAISYA, TBBA001G.DD_FR, TBBA001G.DD_FRTORIKS / 固定値",SITAはTBBA001Gの存在やDD_FR・DD_FRTORIKSの状態から'0'/'1'/'2'を判定。ZAIKOは'0'。GAZOOはNULL,SITA側では契約・FR関連状態から区分判定している。
22,cd_web,Web掲載区分,STRING,有,なし,なし,なし,GAZOOINFO / 固定値,T_GAZOO.MJ_KESAIST / 固定値,SITAは空文字。ZAIKOはCASE T_GAZOO.MJ_KESAIST WHEN '1' THEN '1' ELSE '0' END。GAZOOは'1',Web/GAZOO掲載状態を表す区分。
