No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,更新方法,説明/備考
1,cd_hansya,販社コード,STRING,無,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,CD_HANSYA,T_ALL.CD_HANSYA をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,販社を識別するコード。DDL上NOT NULL。
2,cd_kaisya,会社コード,STRING,無,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,CD_KAISYA,T_ALL.CD_KAISYA をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,会社を識別するコード。DDL上NOT NULL。
3,cd_hanbaitn,販売店コード,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,CD_HANBAITN,T_ALL.CD_HANBAITN をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,販売店を識別するコード。
4,kb_honten,本店区分,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,KB_HONTEN,T_ALL.KB_HONTEN をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,本店/拠点等の区分を表す項目と考えられる。具体的な値定義はSQL上では未確認。
5,cd_teanyote,提案予定コード,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,CD_TEANYOTE,T_ALL.CD_TEANYOTE をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,提案予定を表すコード。
6,cd_tenpo,店舗コード,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,CD_TENPO,T_ALL.CD_TENPO をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,店舗を識別するコード。
7,status,ステータス,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,STATUS,T_ALL.STATUS をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,提案予定または車両の状態を表す項目。具体的な値定義はSQL上では未確認。
8,no_syaryou,車両番号,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,NO_SYARYOU,T_ALL.NO_SYARYOU をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,車両を識別する番号。
9,no_syadaiba,車台番号,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,NO_SYADAIBA,T_ALL.NO_SYADAIBA をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,車台番号。DDL上はNULL許可。
10,cd_syamei,車名コード,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,CD_SYAMEI,T_ALL.CD_SYAMEI をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,車名を識別するコード。TBV0232MとのINNER JOINキーにも使用。
11,mj_syamei,車名,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${ai21Db}.TBV0232M,MJ_SYAMEI,RTRIM(TBV0232M.MJ_SYAMEI) により右側スペースを除去して設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,車名コードに紐づく車名。CD_HANSYA、CD_KAISYA、CD_SYAMEIでTBV0232MとINNER JOINして取得。
12,dd_sitasyuk,下取出庫日,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,DD_SITASYUK,T_ALL.DD_SITASYUK をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,名称から下取出庫日と解釈。日付項目だが、実運用DDLではSTRINGとして扱う前提。
13,dd_siire,仕入日,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,DD_SIIRE,T_ALL.DD_SIIRE をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,仕入日。日付項目だが、実運用DDLではSTRINGとして扱う前提。
14,dd_henkouou,変更応答日,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,DD_HENKOUOU,T_ALL.DD_HENKOUOU をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,名称から変更応答日と解釈。日付項目だが、実運用DDLではSTRINGとして扱う前提。
15,dd_sitayote,下取予定日,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,DD_SITAYOTE,T_ALL.DD_SITAYOTE をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,下取予定日。日付項目だが、実運用DDLではSTRINGとして扱う前提。
16,dd_sitatori,下取日,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,DD_SITATORI,T_ALL.DD_SITATORI をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,下取日。日付項目だが、実運用DDLではSTRINGとして扱う前提。
17,dd_sydan,商談日,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,DD_SYDAN,T_ALL.DD_SYDAN をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,商談日。日付項目だが、実運用DDLではSTRINGとして扱う前提。
18,kj_okyakume,お客様名,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,KJ_OKYAKUME,T_ALL.KJ_OKYAKUME をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,お客様名。SQL上では文字列のTRIM/REGEXP_REPLACEは実施していない。
19,dt_sakusei,作成日時,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,DT_SAKUSEI,T_ALL.DT_SAKUSEI をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,作成日時。実運用DDLではSTRINGとして扱う前提。
20,dt_sakusei_key,作成日時キー,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,DT_SAKUSEI,"TO_TIMESTAMP(T_ALL.DT_SAKUSEI, 'yyyy/MM/dd HH:mm:ss.SSSSSS') により日時変換して設定。実運用DDLがSTRINGの場合は格納時に文字列として扱う前提。",TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,作成日時をキー用途で保持する項目。元DDLではTIMESTAMPだが、実運用DDLではSTRINGに変更されている前提。
21,kj_tanstaff,担当スタッフ名,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,KJ_TANSTAFF,T_ALL.KJ_TANSTAFF をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,担当スタッフ名。SQL上では文字列のTRIM/REGEXP_REPLACEは実施していない。
22,kj_tenpomei,店舗名,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,KJ_TENPOMEI,T_ALL.KJ_TENPOMEI をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,店舗名。SQL上では文字列のTRIM/REGEXP_REPLACEは実施していない。
23,mj_bikou,備考,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,MJ_BIKOU,T_ALL.MJ_BIKOU をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,備考。長文文字列を格納する想定。
24,okureflg,遅れフラグ,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,OKUREFLG,T_ALL.OKUREFLG をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,遅延有無を表すフラグと考えられる。具体的な値定義はSQL上では未確認。
25,no_siretyum,仕入注文番号,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,NO_SIRETYUM,T_ALL.NO_SIRETYUM をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,仕入注文番号。
26,kb_uriagyot,売上予定区分,STRING,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,KB_URIAGYOT,T_ALL.KB_URIAGYOT をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,売上予定に関する区分と考えられる。具体的な値定義はSQL上では未確認。
27,su_syodotor,初度登録情報,INT,有,なし（DDL上のPRIMARY KEY定義なし）,なし（DDL上のPARTITIONED BY定義なし）,,${uslimDb}.DM_PROPOSED_PLAN_SYARYO_TMP,SU_SYODOTOR,T_ALL.SU_SYODOTOR をそのまま設定,TRUNCATE後、INSERT INTO SELECTによる全件洗い替え,名称から初度登録に関する数値項目と解釈。厳密な業務定義はSQL上では未確認。
