No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,cd_hansya,販社コード,STRING,無,なし,なし,なし,実行パラメータ,#{cdHansya},実行時パラメータを設定,対象販社を識別するコード
2,cd_kaisya,会社コード,STRING,無,なし,なし,なし,実行パラメータ,#{cdKaisya},実行時パラメータを設定,対象会社を識別するコード
3,cd_hanbaitn,販売店コード,STRING,無,なし,なし,なし,実行パラメータ,#{cdHanbaitn},実行時パラメータを設定,対象販売店を識別するコード
4,no_syadaiba,車台番号,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,no_syadaiba,直接設定,車台を識別する番号
5,no_syaryou,車両番号,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,no_syaryou,直接設定,車両を識別する番号
6,no_siretyum,仕入注文番号,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,no_siretyum,直接設定,正式名称はSQL内にコメントなし。カラム名からの整理
7,cd_teanyote,提案予定コード,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,cd_teanyote,直接設定,正式名称はSQL内にコメントなし。カラム名からの整理
8,status,ステータス,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,status,直接設定,車両または査定の状態を表す区分
9,mj_ncfr,NCFR,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,mj_ncfr,直接設定,正式名称はSQL内にコメントなし
10,dd_syodotor,初度登録日,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,su_syodotor,su_syodotor が NULL または 0 の場合は空文字。それ以外は su_syodotor * 100 + 1 を yyyyMMdd として解釈し yyyy/MM/dd 形式へ変換,初度登録年月を表示用の日付形式に変換した項目
11,dd_syknmanr,車検満了日,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,dd_syknmanr,dd_syknmanr がJST現在日以下の場合は空文字。それ以外は yyyy/MM/dd 形式へ変換,有効な将来の車検満了日のみ表示する項目
12,mj_katasiki,型式,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,mj_katasiki,直接設定,車両型式
13,ki_hnbsijik,販売指示価格,BIGINT,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,ki_hnbsijik,直接設定,販売指示価格を表す金額項目
14,nu_soukoukm,走行距離,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,nu_soukoukm,直接設定,走行距離を表す項目
15,mj_syamei,車名,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,mj_syamei,直接設定,車両の名称
16,kb_uriagyot,売上業態,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,kb_uriagyot,kb_uriagyot='1' の場合は 小売、'2' の場合は 卸売、それ以外は空文字に変換,売上業態区分を画面表示向けに日本語化した項目
17,dd_sitayote,査定予定日,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,dd_sitayote,"FROM_TIMESTAMP(dd_sitayote,'yyyy/MM/dd') で表示形式へ変換し、NULLの場合は空文字",査定予定日を表示用に整形した項目
18,dd_kibonoki,希望納期,STRING,有,なし,なし,なし,なし（固定値）,'',空文字を固定設定,SQL上は元項目を参照せず空文字を設定
19,cd_syufukre,修復歴有無,STRING,有,なし,なし,なし,DM_SITA_VEHICLE_BASE,cd_syufukre,cd_syufukre が空文字またはNULLの場合は 無、それ以外は 有 に変換,修復歴コードを画面表示用の有無に変換した項目
