No,カラム名,カラム論理名,データ型,NULL有/無,主キー,デフォルト値,元テーブル,元カラム,変換加工ロジック,更新方法,説明/備考
1,id_oshirase,お知らせID,VARCHAR(50),無,○,なし,uslim_ve.NOTICEINFO,id_oshirase,そのまま取得,TRUNCATE後、uslim_ve.NOTICEINFOから全件INSERT（洗い替え）,お知らせを一意に識別するID。DDL上、主キーとして定義。
2,cd_jyuyodo,重要度コード,VARCHAR(50),有,,なし,uslim_ve.NOTICEINFO,cd_jyuyodo,そのまま取得,TRUNCATE後、uslim_ve.NOTICEINFOから全件INSERT（洗い替え）,お知らせの重要度を表すコード。具体的なコード値はDDL/SQL上は未定義。
3,dd_hashinbi,配信日（表示用）,VARCHAR(10),有,,なし,uslim_ve.NOTICEINFO,dd_hashinbi,"FROM_TIMESTAMP(dd_hashinbi, 'yyyy/MM/dd')でyyyy/MM/dd形式に変換",TRUNCATE後、uslim_ve.NOTICEINFOから全件INSERT（洗い替え）,画面表示・出力向けの配信日。並び替えにはsort_dd_hashinbiを使用する想定。
4,cd_categori,カテゴリコード,VARCHAR(50),有,,なし,uslim_ve.NOTICEINFO,cd_categori,そのまま取得,TRUNCATE後、uslim_ve.NOTICEINFOから全件INSERT（洗い替え）,お知らせのカテゴリを表すコード。具体的なカテゴリ値はDDL/SQL上は未定義。
5,kj_naiyou,内容,STRING,有,,なし,uslim_ve.NOTICEINFO,kj_naiyou,そのまま取得,TRUNCATE後、uslim_ve.NOTICEINFOから全件INSERT（洗い替え）,お知らせ本文・内容を格納するカラム。
6,kb_taisyo,対象区分,VARCHAR(50),有,,なし,uslim_ve.NOTICEINFO,kb_taisyo,そのまま取得,TRUNCATE後、uslim_ve.NOTICEINFOから全件INSERT（洗い替え）,お知らせの対象区分を表すカラム。具体的な区分値はDDL/SQL上は未定義。
7,dd_to,掲載終了日（表示用）,VARCHAR(10),有,,なし,uslim_ve.NOTICEINFO,dd_to,"FROM_TIMESTAMP(dd_to, 'yyyy/MM/dd')でyyyy/MM/dd形式に変換",TRUNCATE後、uslim_ve.NOTICEINFOから全件INSERT（洗い替え）,画面表示・出力向けの終了日。公開対象判定では元カラムdd_toを使用。
8,sort_dd_hashinbi,配信日（並び替え用）,DATE,有,,なし,uslim_ve.NOTICEINFO,dd_hashinbi,dd_hashinbiをそのまま並び替え用DATEカラムへ格納,TRUNCATE後、uslim_ve.NOTICEINFOから全件INSERT（洗い替え）,配信日順に並び替えるためのカラム。元カラム型・実行環境の暗黙変換仕様に依存する可能性がある。
9,sort_dt_saisinup,最新更新日時（並び替え用）,TIMESTAMP,有,,なし,uslim_ve.NOTICEINFO,dt_saisinup,dt_saisinupをそのまま格納,TRUNCATE後、uslim_ve.NOTICEINFOから全件INSERT（洗い替え）,最新更新日時順に並び替えるためのカラム。
10,mart_created_at,マート作成日時,TIMESTAMP,無,,CURRENT_TIMESTAMP,なし（システム生成）,なし,SQL実行時にNOW()を明示投入,TRUNCATE後、uslim_ve.NOTICEINFOから全件INSERT（洗い替え）,goldテーブルへデータを作成した日時。DDL上はDEFAULT CURRENT_TIMESTAMPあり。
