No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,販社コード,販社コード,STRING,有,なし,なし,なし,不明（DDL上の出力カラム）,販社コード,DDL上は変換ロジック未記載。出力カラムとしてSTRING型で定義。,DDL上は元テーブル・加工条件が未記載のため、出力項目として定義されていることのみ確認可能。
2,会社コード,会社コード,STRING,有,なし,なし,なし,不明（DDL上の出力カラム）,会社コード,DDL上は変換ロジック未記載。出力カラムとしてSTRING型で定義。,DDL上は元テーブル・加工条件が未記載のため、出力項目として定義されていることのみ確認可能。
3,注文ＮＯ,注文ＮＯ,STRING,有,なし,なし,なし,不明（DDL上の出力カラム）,注文ＮＯ,DDL上は変換ロジック未記載。出力カラムとしてSTRING型で定義。,DDL上は元テーブル・加工条件が未記載のため、出力項目として定義されていることのみ確認可能。
4,注文ＮＯ枝番,注文ＮＯ枝番,STRING,有,なし,なし,なし,不明（DDL上の出力カラム）,注文ＮＯ枝番,DDL上は変換ロジック未記載。出力カラムとしてSTRING型で定義。,DDL上は元テーブル・加工条件が未記載のため、出力項目として定義されていることのみ確認可能。
5,配送予定日,配送予定日,STRING,有,なし,なし,なし,不明（DDL上の出力カラム）,配送予定日,DDL上は変換ロジック未記載。出力カラムとしてSTRING型で定義。,DDL上は元テーブル・加工条件が未記載のため、出力項目として定義されていることのみ確認可能。
6,納車日,納車日,STRING,有,なし,なし,なし,不明（DDL上の出力カラム）,納車日,DDL上は変換ロジック未記載。出力カラムとしてSTRING型で定義。,DDL上は元テーブル・加工条件が未記載のため、出力項目として定義されていることのみ確認可能。
7,買主名漢字,買主名漢字,STRING,有,なし,なし,なし,不明（DDL上の出力カラム）,買主名漢字,DDL上は変換ロジック未記載。出力カラムとしてSTRING型で定義。,DDL上は元テーブル・加工条件が未記載のため、出力項目として定義されていることのみ確認可能。
8,名義人名漢字,名義人名漢字,STRING,有,なし,なし,なし,不明（DDL上の出力カラム）,名義人名漢字,DDL上は変換ロジック未記載。出力カラムとしてSTRING型で定義。,DDL上は元テーブル・加工条件が未記載のため、出力項目として定義されていることのみ確認可能。
9,販売店型式,販売店型式,STRING,有,なし,なし,なし,不明（DDL上の出力カラム）,販売店型式,DDL上は変換ロジック未記載。出力カラムとしてSTRING型で定義。,DDL上は元テーブル・加工条件が未記載のため、出力項目として定義されていることのみ確認可能。
10,外鈑色,外鈑色,STRING,有,なし,なし,なし,不明（DDL上の出力カラム）,外鈑色,DDL上は変換ロジック未記載。出力カラムとしてSTRING型で定義。,DDL上は元テーブル・加工条件が未記載のため、出力項目として定義されていることのみ確認可能。
