No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,更新方法,説明/備考
1,主キー,主キー,INT/BIGINT相当（ROW_NUMBERの戻り値）,NULL不可,Yes（論理主キー。物理PK制約は定義なし）,なし,なし,ai21rep_ve_dx.tbg8014m,なし,WITH句 table_8014m で ROW_NUMBER() OVER(ORDER BY 1) により logic_pk を採番し、主キーとして出力,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,元テーブルの各行を識別するためにSQL内で付与した連番。ORDER BY 1 のため採番順は厳密には安定しない可能性がある。
2,販社コード,販社コード,元カラム依存,不明（元カラム依存）,なし,なし,なし,ai21rep_ve_dx.tbg8014m,cd_hansya,t014m.cd_hansya をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,販社を識別するコード。
3,会社コード,会社コード,元カラム依存,不明（元カラム依存）,なし,なし,なし,ai21rep_ve_dx.tbg8014m,cd_kaisya,t014m.cd_kaisya をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,会社を識別するコード。
4,注文ＮＯ,注文NO,元カラム依存,不明（元カラム依存）,なし,なし,なし,ai21rep_ve_dx.tbg8014m,no_cyumon,t014m.no_cyumon をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,注文番号。
5,販社会社注文no,販社会社注文NO,STRING,NULL可,なし,なし,なし,ai21rep_ve_dx.tbg8014m,"cd_hansya, cd_kaisya, no_cyumon","CONCAT(t014m.cd_hansya, t014m.cd_kaisya, TRIM(t014m.no_cyumon)) により販社コード・会社コード・トリム済み注文NOを連結",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,販社コード・会社コード・注文NOを結合した分析用キー。元項目にNULLがある場合は結果がNULLになる可能性がある。
6,日付_順番用,日付_順番用,STRING,NULL可,なし,なし,なし,ai21rep_ve_dx.tbg8014m,dd_keijyou,CAST(t014m.dd_keijyou AS STRING) により文字列化,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,計上日を並び替え・表示用に文字列として保持する項目。
7,日付,日付,TIMESTAMP,NULL可,なし,なし,なし,ai21rep_ve_dx.tbg8014m,dd_keijyou,"TO_TIMESTAMP(CAST(t014m.dd_keijyou AS STRING), 'yyyyMMdd') により yyyyMMdd 形式をTIMESTAMPへ変換",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,計上日を日付・時刻型に変換した項目。元値が不正またはNULLの場合はNULLになる可能性がある。
8,項目名,項目名,STRING相当,NULL可,なし,なし,なし,ai21rep_ve_dx.tbbf053m / ai21rep_ve_dx.tbgm024m / ai21rep_ve_dx.tbv0208m,"kb_syohmei, kj_nasemei, kj_nyuukinm","COALESCE(t053m.kb_syohmei, t204m.kj_nasemei, t208m.kj_nyuukinm) により、売上発生側のマスタ名または入金側のマスタ名を優先順で取得",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,売上発生・入金区分に応じた表示名称。3つの候補がすべてNULLの場合はNULLになる。
9,発生額,発生額,数値（元カラム依存）,NULL可,なし,なし,なし,ai21rep_ve_dx.tbg8014m,ki_nyukinur,"IF(t014m.kb_urinyuki = '1', t014m.ki_nyukinur, NULL) により、売上発生側のみ金額を設定",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,kb_urinyuki が '1' のレコードだけ金額を発生額として出力する。
10,入金額,入金額,数値（元カラム依存）,NULL可,なし,なし,なし,ai21rep_ve_dx.tbg8014m,KI_NYUKINUR,"IF(t014m.kb_urinyuki = '2', t014m.KI_NYUKINUR, NULL) により、入金側のみ金額を設定",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,kb_urinyuki が '2' のレコードだけ金額を入金額として出力する。
11,空白欄,空白欄,STRING,NULL可,なし,なし,なし,ai21rep_ve_dx.tbg8014m,"kb_urinyuki, kb_nyuukin, kb_nyukkanr","kb_urinyuki='1' の場合は SUBSTR(kb_nyuukin,3,1) を 1:取消、2:売上、3:条変 に変換。kb_urinyuki='2' の場合は kb_nyukkanr を 01:現金、02:割賦、03:下取、04:約手、05:残債 に変換。該当しない場合はNULL",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,名称は空白欄だが、実態としては売上発生・入金の詳細区分ラベル。提示SQLではこのIF式周辺に構文上のカンマ不足と余分なカンマがあるため、実行時は修正が必要。
12,伝票番号,伝票番号,元カラム依存,不明（元カラム依存）,なし,なし,なし,ai21rep_ve_dx.tbg8014m,no_denpyo,t014m.no_denpyo をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,伝票を識別する番号。
13,業務区分,業務区分,元カラム依存,不明（元カラム依存）,なし,なし,なし,ai21rep_ve_dx.tbg8014m,kb_gyoumu,t014m.kb_gyoumu をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,業務の種類を表す区分コード。
14,入金区分,入金区分,元カラム依存,不明（元カラム依存）,なし,なし,なし,ai21rep_ve_dx.tbg8014m,kb_nyuukin,t014m.kb_nyuukin をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,入金または売上発生に関する区分コード。JOIN条件や表示区分の判定にも利用されている。
15,件数,件数,INT,NULL不可,なし,なし,なし,なし,なし,固定値 1 を設定,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,レコード件数集計用の固定値。SUMすることで件数を集計できる。
